,country,Deaths,confirmed,Unnamed: 0,Humidity,Max_temp,Min_temp,Wind Speed,HMT.current,WRS.current,AGR.current,FRT.current,HLT.current,FSH.current,Country,Population,Area,Population_Density,Infant_mortality,GDP,Literacy,Phones,Crops,Birthrate,Deathrate,Agriculture,Industry,Service
46,Norway,236,8411,111,67.0,288.71,287.15,5.7,96.44,96.11,28.51,22.08,97.86,68.73,Norway,4610820,323802,14.2,3.7,37800.0,100.0,461.7,0.0,11.46,9.4,0.021,0.415,0.564
47,Afghanistan,235,13036,0,34.0,293.39,293.39,1.78,0.0,0.0,44.77,99.07,36.76,56.625,Afghanistan,31056997,647500,48.0,163.07,700.0,36.0,3.2,0.22,46.6,20.34,0.38,0.24,0.38
48,Belarus,219,39858,14,85.0,285.36,285.36,7.37,72.8,97.54,28.1,15.34,69.55,56.625,Belarus,10293011,207600,49.6,13.37,6100.0,99.6,319.1,0.6,11.16,14.02,0.093,0.316,0.591
49,Morocco,202,7643,102,82.0,291.48,289.15,2.61,37.03,85.38,30.25,29.57,67.43,57.39,Morocco,33241259,446550,74.4,41.62,4000.0,51.7,40.4,2.17,21.98,5.58,0.217,0.357,0.426
50,Honduras,196,4752,66,94.0,293.73,293.73,0.89,19.01,56.32,10.21,3.59,55.95,54.38,Honduras,7326496,112090,65.4,29.32,2600.0,76.2,67.5,3.22,28.24,5.28,0.139,0.312,0.549
51,Sudan,195,4346,136,8.0,312.42,312.42,6.15,15.78,0.0,12.62,74.65,50.09,78.4,Sudan,41236378,2505810,16.5,62.5,1900.0,61.1,16.3,0.18,34.53,8.97,0.387,0.203,0.41
52,Kuwait,185,24112,80,8.0,319.15,319.15,5.7,39.0,96.88,30.75,20.18,70.55,64.88,Kuwait,2418393,17820,135.7,9.95,19000.0,83.5,211.0,0.11,21.94,2.41,0.004,0.479,0.516
53,Iraq,179,5457,72,16.0,311.15,311.15,9.3,35.11,70.21,22.96,20.18,61.46,56.625,Iraq,26783383,437072,61.3,50.25,1500.0,40.4,38.6,0.78,31.98,5.37,0.073,0.666,0.261
54,Cameroon,175,5436,28,93.0,296.32,296.32,1.32,45.84,0.0,31.05,22.75,39.18,47.54,Cameroon,17340702,475440,36.5,68.26,1800.0,79.0,5.7,2.58,33.89,13.47,0.448,0.17,0.382
55,Greece,175,2906,59,74.0,299.82,297.59,0.89,60.77,97.72,49.5,33.42,91.03,63.74,Greece,10688058,131940,81.0,5.53,20000.0,97.5,589.7,8.78,9.68,10.24,0.054,0.213,0.733
56,Bulgaria,134,2477,23,77.0,290.37,288.71,3.24,74.15,93.93,43.68,34.38,69.6,62.17,Bulgaria,7385367,110910,66.6,20.55,7600.0,98.6,336.3,1.92,9.65,14.27,0.093,0.304,0.603
57,Malaysia,115,7629,92,88.0,299.15,299.15,0.45,53.42,82.3,31.86,0.0,66.63,64.19,Malaysia,24385858,329750,74.0,17.7,9000.0,88.7,179.0,17.61,22.86,5.05,0.084,0.48,0.436
58,Armenia,113,8216,6,17.0,306.15,306.15,4.6,69.06,84.51,33.19,73.6,56.85,56.625,Armenia,2976372,29800,99.9,23.28,3500.0,98.6,195.7,2.3,12.07,8.23,0.239,0.343,0.418
59,Luxembourg,110,4008,89,40.0,294.26,293.71,0.45,88.55,99.76,38.06,18.77,95.07,56.625,Luxembourg,474413,2586,183.5,4.81,55100.0,100.0,515.4,0.4,11.94,8.41,0.01,0.13,0.86
60,Slovenia,108,1473,133,55.0,291.48,288.71,0.45,97.0,88.5,34.85,30.87,72.34,56.625,Slovenia,2010347,20273,99.2,4.45,19000.0,99.7,406.1,1.49,8.98,10.31,0.028,0.369,0.603
61,Australia,103,7165,7,75.8,288.164,286.83,2.664,68.34,99.44,37.79,10.54,97.95,58.48,Australia,20264082,7686850,2.6,4.69,29000.0,100.0,565.5,0.04,12.14,7.51,0.038,0.262,0.7
62,Croatia,102,2245,37,60.0,292.04,292.04,0.45,87.84,86.58,47.68,34.36,67.04,54.55,Croatia,4494749,56542,79.5,6.84,10600.0,98.5,420.4,2.27,9.61,11.48,0.07,0.308,0.622
63,Cuba,82,1983,38,70.0,301.9,301.9,3.33,46.03,72.52,13.59,14.72,75.76,49.23,Cuba,11382820,110860,102.7,6.33,2900.0,97.0,74.7,7.6,11.89,7.22,0.055,0.261,0.684
64,Guatemala,80,4348,61,82.0,292.15,292.15,1.46,34.42,72.59,14.55,0.77,54.97,59.62,Guatemala,12293545,108890,112.9,35.93,4100.0,70.6,92.1,5.03,29.88,5.2,0.227,0.188,0.585
65,Mali,72,1194,94,31.0,304.66,304.66,1.28,33.94,0.0,31.34,4.17,43.72,56.625,Mali,11716829,1240000,9.5,116.79,900.0,46.4,6.4,0.03,49.82,16.89,0.45,0.17,0.38
66,Lithuania,68,1656,88,36.0,290.15,290.15,9.3,86.63,93.49,62.01,7.75,72.57,57.83,Lithuania,3585906,65200,55.0,6.89,11400.0,99.6,223.4,0.91,8.75,10.98,0.055,0.325,0.62
67,Estonia,66,1851,49,45.0,287.68,287.68,4.0,88.82,96.42,40.75,4.56,73.24,76.04,Estonia,1324333,45226,29.3,7.87,12300.0,99.8,333.8,0.45,10.04,13.25,0.04,0.294,0.666
68,Chad,65,726,31,7.0,315.49,315.49,3.66,34.67,0.0,28.9,9.46,41.36,56.625,Chad,9944201,1284000,7.7,93.82,1200.0,47.5,1.3,0.02,45.73,16.38,0.335,0.259,0.406
69,Niger,64,955,109,9.0,313.59,313.59,5.41,28.37,0.0,19.51,10.17,41.94,56.625,Niger,12525094,1267000,9.9,121.69,800.0,17.6,1.9,0.01,50.73,20.91,0.39,0.17,0.44
70,Kenya,58,1618,79,36.0,303.11,303.11,9.17,37.36,41.57,27.25,15.51,42.96,49.81,Kenya,34707817,582650,59.6,61.47,1000.0,85.1,8.1,0.98,39.72,14.02,0.163,0.188,0.651
71,Thailand,57,3065,142,87.0,299.27,299.27,4.55,75.36,77.05,27.17,11.07,46.21,48.25,Thailand,64631595,514000,125.7,20.48,7400.0,92.6,108.9,6.46,13.87,7.04,0.099,0.441,0.46
72,Azerbaijan,56,4759,9,33.0,305.15,304.15,5.1,63.09,76.03,39.76,74.2,48.55,56.625,Azerbaijan,7961619,86600,91.9,81.74,3400.0,97.0,137.1,2.71,20.74,9.75,0.141,0.457,0.402
73,Burkina Faso,53,847,24,19.0,312.62,312.62,3.19,29.78,0.0,28.42,20.18,44.22,56.625,Burkina Faso,13902972,274200,50.7,97.57,1100.0,26.6,7.0,0.19,45.62,15.6,0.322,0.196,0.482
74,Tunisia,48,1068,145,36.0,299.15,299.15,4.1,36.02,88.17,16.25,7.91,81.12,58.12,Tunisia,10175014,163610,62.2,24.77,6900.0,74.2,123.6,13.74,15.52,5.13,0.132,0.318,0.55
75,Tajikistan,47,3563,140,86.0,276.9,276.9,0.44,44.01,58.85,33.47,85.43,26.26,56.625,Tajikistan,7320815,143100,51.2,110.76,1000.0,99.4,33.5,0.92,32.65,8.25,0.234,0.286,0.48
76,Sierra Leone,45,812,130,91.0,300.19,300.19,1.76,32.16,0.0,26.33,0.0,41.8,55.46,Sierra Leone,6005250,71740,83.7,143.64,500.0,31.4,4.0,0.89,45.76,23.03,0.49,0.31,0.21
