,country,Deaths,confirmed,Unnamed: 0,Humidity,Max_temp,Min_temp,Wind Speed,HMT.current,WRS.current,AGR.current,FRT.current,HLT.current,FSH.current,Country,Population,Area,Population_Density,Infant_mortality,GDP,Literacy,Phones,Crops,Birthrate,Deathrate,Agriculture,Industry,Service
104,Equatorial Guinea,12,1043,47,94.0,301.15,301.15,5.7,58.55,52.51,16.38,20.76,49.66,64.46,Equatorial Guinea,540109,28051,19.3,85.13,2700.0,85.7,18.5,3.57,35.59,15.06,0.03,0.906,0.062
105,Venezuela,11,1325,153,60.0,303.44,303.44,6.27,37.32,80.74,17.6,32.23,75.74,56.16,Venezuela,25730435,912050,28.2,22.2,4800.0,93.4,140.1,0.92,18.71,4.92,0.04,0.419,0.541
106,Paraguay,11,900,115,43.0,299.16,299.16,2.52,42.09,46.8,75.77,0.0,58.1,56.625,Paraguay,6506464,406750,16.0,25.63,4700.0,94.0,49.2,0.23,29.1,4.49,0.224,0.207,0.569
107,Guyana,11,150,64,82.0,300.15,300.15,1.01,17.58,0.0,29.4,48.62,61.55,52.86,Guyana,767245,214970,3.6,33.26,4000.0,98.8,143.5,0.15,18.28,8.28,0.37,0.203,0.427
108,Mauritius,10,334,97,73.0,298.15,297.04,5.1,66.37,73.12,4.51,27.23,77.45,57.3,Mauritius,1240827,2040,608.3,15.03,11400.0,85.6,289.3,2.96,15.43,6.86,0.059,0.298,0.643
109,Sri Lanka,10,1530,135,84.0,295.14,295.14,2.63,66.58,0.0,22.05,24.09,64.7,78.34,Sri Lanka,20222240,65610,308.2,14.35,3700.0,92.3,61.5,15.7,15.51,6.52,0.178,0.276,0.545
110,Costa Rica,10,1000,36,52.0,294.27,294.27,3.18,54.45,64.78,6.04,28.49,76.44,69.69,Costa Rica,4075261,51100,79.8,9.95,9100.0,96.0,340.7,5.88,18.32,4.36,0.088,0.299,0.614
111,Iceland,10,1805,68,87.0,279.38,279.38,7.19,86.99,94.47,59.78,20.18,98.41,39.3,Iceland,299388,103000,2.9,3.31,30900.0,99.9,647.7,0.0,13.64,6.72,0.086,0.15,0.765
112,Jamaica,9,569,75,70.0,302.15,302.04,3.1,39.72,76.99,8.32,24.03,68.48,29.07,Jamaica,2758124,10991,250.9,12.36,3900.0,87.9,124.0,10.16,20.82,6.52,0.049,0.337,0.615
113,Jordan,9,728,77,31.0,293.52,293.52,8.17,25.98,81.74,13.03,20.18,86.69,56.625,Jordan,5906760,92300,64.0,17.35,4300.0,91.3,104.5,1.83,21.25,2.65,0.033,0.287,0.68
114,Guinea-Bissau,8,1195,63,21.0,315.42,315.42,1.59,25.37,0.0,20.94,0.0,43.6,36.45,Guinea-Bissau,1442029,36120,39.9,107.17,800.0,42.4,7.4,8.82,37.22,16.53,0.62,0.12,0.26
115,Ethiopia,7,831,50,84.0,288.76,288.76,0.45,32.22,0.0,35.52,29.39,32.8,56.625,Ethiopia,74777981,1127127,66.3,95.32,700.0,42.7,8.2,0.75,37.98,14.86,0.475,0.099,0.426
116,Barbados,7,92,13,62.0,304.15,304.15,7.2,60.69,64.44,10.23,20.18,84.73,46.76,Barbados,279912,431,649.5,12.5,15700.0,97.4,481.9,2.33,12.71,8.67,0.06,0.16,0.78
117,Zambia,7,1057,154,48.0,297.91,297.91,1.86,35.26,65.61,28.2,16.5,31.57,56.625,Zambia,11502010,752614,15.3,88.29,800.0,80.6,8.2,0.03,41.0,19.93,0.22,0.29,0.489
118,Malta,7,616,95,58.0,287.15,287.15,4.1,48.74,100.0,32.62,20.18,93.8,56.49,Malta,400214,316,1266.5,3.89,17700.0,92.8,505.0,3.13,10.22,8.1,0.03,0.23,0.74
119,Maldives,5,1513,93,79.0,301.3,301.3,9.2,56.39,39.76,26.33,20.18,73.23,66.65,Maldives,359008,300,1196.7,56.52,3900.0,97.2,90.0,16.67,34.81,7.06,0.2,0.18,0.62
120,Nepal,5,1042,105,88.0,291.64,291.64,1.32,18.43,0.0,38.16,63.09,10.54,56.625,Nepal,28287147,147181,192.2,66.98,1400.0,45.2,15.9,0.64,30.98,9.31,0.38,0.21,0.41
121,Libya,5,105,87,16.0,306.05,306.05,6.34,49.67,74.57,24.39,20.18,81.8,47.5,Libya,5900754,1759540,3.4,24.6,6400.0,82.6,127.1,0.19,26.49,3.48,0.076,0.499,0.425
122,Angola,4,74,3,28.0,299.56,299.56,2.57,40.08,0.0,22.7,21.76,33.79,63.2,Angola,12127071,1246700,9.7,191.19,1900.0,42.0,7.8,0.24,45.11,24.2,0.096,0.658,0.246
123,Zimbabwe,4,149,155,21.0,296.28,296.28,1.83,42.65,75.44,12.22,6.94,40.58,56.625,Zimbabwe,12236805,390580,31.3,67.69,1900.0,90.7,26.8,0.34,28.01,21.84,0.179,0.243,0.579
124,Malawi,4,203,91,57.0,298.15,298.15,6.7,36.52,0.0,34.26,5.52,39.93,56.625,Malawi,13013926,118480,109.8,103.32,600.0,62.7,7.9,1.49,43.13,19.33,0.342,0.158,0.499
125,Benin,3,210,17,28.0,310.97,310.97,1.58,30.23,10.7,31.11,3.49,36.36,48.18,Benin,7862944,112620,69.8,85.0,1100.0,40.9,9.7,2.4,38.85,12.22,0.316,0.138,0.546
126,Belize,2,18,16,54.0,301.48,301.48,2.24,49.86,59.0,25.14,5.11,65.09,44.27,Belize,287730,22966,12.5,25.69,4900.0,94.1,115.7,1.71,28.84,5.72,0.142,0.152,0.612
127,Mozambique,2,233,103,62.0,299.08,299.08,2.69,31.6,45.65,23.27,10.62,46.36,50.73,Mozambique,19686505,801590,24.6,130.79,1200.0,47.8,3.5,0.3,35.18,21.35,0.262,0.348,0.39
128,Comoros,2,87,35,99.0,292.42,292.42,4.95,44.3,26.32,18.05,12.66,47.06,57.81,Comoros,690948,2170,318.4,74.93,700.0,56.5,24.5,23.32,36.93,8.2,0.4,0.04,0.56
129,Madagascar,2,656,90,65.0,289.07,289.07,0.41,30.08,0.0,39.5,0.0,42.39,62.0,Madagascar,18595469,587040,31.7,76.83,800.0,68.9,3.6,1.03,41.41,11.11,0.276,0.165,0.559
130,Botswana,1,35,21,16.0,296.35,296.35,1.65,49.65,49.56,30.36,57.67,37.19,56.625,Botswana,1639833,600370,2.7,54.58,9000.0,79.8,80.5,0.01,23.08,29.5,0.024,0.469,0.507
131,Suriname,1,12,137,98.0,295.38,295.38,0.78,30.29,7.53,33.22,42.84,62.46,68.18,Suriname,439117,163270,2.7,23.57,4000.0,93.0,184.7,0.06,18.02,7.27,0.13,0.22,0.65
132,Burundi,1,42,25,74.0,294.32,294.32,2.57,28.7,0.0,21.06,25.87,25.69,56.625,Burundi,8090068,27830,290.7,69.29,600.0,51.6,3.4,14.02,42.22,13.46,0.463,0.203,0.334
133,Namibia,0,22,104,14.0,299.26,299.15,2.1,46.1,69.91,10.32,20.18,46.34,58.11,Namibia,2044147,825418,2.5,48.98,7200.0,84.0,62.6,0.0,24.32,18.86,0.097,0.315,0.588
134,Mongolia,0,161,100,67.0,277.96,277.96,5.05,40.31,63.0,14.35,28.94,61.97,56.625,Mongolia,2832224,1564116,1.8,53.79,1800.0,97.8,55.1,0.0,21.59,6.95,0.206,0.214,0.58
135,Uganda,0,317,147,84.0,297.85,297.85,1.25,42.43,40.84,26.17,10.47,33.64,56.625,Uganda,28195754,236040,119.5,67.83,1400.0,69.9,3.6,10.65,47.35,12.24,0.311,0.222,0.469
136,Seychelles,0,11,129,74.0,302.15,302.15,3.6,60.41,26.32,14.01,20.18,77.72,49.54,Seychelles,81541,455,179.2,15.53,7800.0,58.0,262.4,13.33,16.03,6.29,0.032,0.304,0.665
137,Bhutan,0,31,18,69.0,287.62,287.62,0.73,30.28,0.0,33.15,59.79,35.27,56.625,Bhutan,2279723,47000,48.5,100.44,1300.0,42.2,14.3,0.43,33.65,12.7,0.258,0.379,0.363
138,Lesotho,0,2,85,60.0,280.02,280.02,2.82,30.06,37.28,36.27,20.18,29.78,56.625,Lesotho,2022331,30355,66.6,84.23,3000.0,84.8,23.7,0.13,24.75,28.71,0.163,0.443,0.394
139,Laos,0,19,82,90.0,294.75,294.75,0.17,33.69,0.0,33.06,0.0,25.15,56.625,Laos,6368481,236800,26.9,85.22,1700.0,66.4,14.1,0.35,35.49,11.55,0.455,0.287,0.258
140,Grenada,0,23,60,22.0,304.15,303.71,1.0,29.37,64.44,0.76,36.44,69.82,44.76,Grenada,89703,344,260.8,14.62,5000.0,98.0,364.5,29.41,22.08,6.88,0.054,0.18,0.766
141,Cambodia,0,124,27,94.0,298.3,298.3,1.32,39.84,0.0,47.46,0.0,39.81,49.61,Cambodia,13881427,181040,76.7,71.48,1900.0,69.4,2.6,0.61,26.9,9.06,0.35,0.3,0.35
142,Rwanda,0,349,123,50.0,298.15,298.15,3.6,38.53,0.0,32.14,16.71,31.03,56.625,Rwanda,8648248,26338,328.4,91.23,1300.0,70.4,2.7,12.16,40.37,16.09,0.401,0.229,0.37
143,Saint Lucia,0,18,124,72.0,288.15,288.15,3.6,39.36,64.44,0.0,43.36,71.03,47.63,Saint Lucia,168458,616,273.5,13.53,5400.0,67.0,303.3,22.95,19.68,5.08,0.07,0.2,0.73
144,Saint Vincent and the Grenadines,0,25,125,73.0,301.33,301.33,7.52,24.52,64.44,3.22,100.0,67.38,79.13,Saint Vincent and the Grenadines,117848,389,303.0,14.78,2900.0,96.0,190.9,17.95,16.18,5.98,0.1,0.26,0.64
145,Dominica,0,16,42,70.0,304.15,303.15,5.1,40.18,35.78,0.0,54.93,69.45,51.06,Dominica,68910,754,91.4,14.15,5400.0,94.0,304.8,20.0,15.27,6.73,0.177,0.328,0.495
146,Fiji,0,18,51,100.0,296.48,294.15,1.01,79.74,64.8,18.78,29.72,61.7,64.97,Fiji,905949,18270,49.6,12.62,5800.0,93.7,112.6,4.65,22.55,5.65,0.089,0.135,0.776
147,Eritrea,0,39,48,22.0,299.34,299.34,8.25,36.46,0.0,36.51,20.18,46.12,94.09,Eritrea,4786994,121320,39.5,74.87,700.0,58.6,7.9,0.03,34.33,9.6,0.102,0.254,0.643
